tweet,tactic
Style Guide is back after a week off #themasters - this week the out features the likes of @petermillar @benjamindgolf @ImperialHats @PUMAGolf @BaldHeadBlues @saltyumbrella - and a new polo company - check it out!,V
"What was in Tiger's bag that helped him win #theMasters? Spoiler Alert: Bridgestone Golf, our bonus prize partner, was one of them!!",M
Golf was making a comeback even before #TigerWoods won #theMasters. Here's one way investors can capitalize.,V
Let’s get those actives to go follow my team @SarinAsylum we are super active and got some dope content on the way! #Potency #TheMasters,V
Fear the Tiger 🐅 #TheMasters #HarnessRacing #TigerWoods,N
Rewatched the back nine of #TheMasters last night- this picture is a stunning turning point of the final group. I will forever remember where I was. #TigerHigh #Hulu #WhyWeDoIt #Golf #PGA,N
"Tiger Woods winning #TheMasters was a good result for MGM sportsbooks, and will also help boost betting handle on upcoming PGA Tour events - namely the #PGAChampionship in May. We're inside @TheMirageLV sportsbook talking about Tiger's impact on golf betting interest.",N
Remember #TheMasters last weekend... that was awesome.,N
"If you were going to #TheMasters in 2020, which ONE golf course would you want to tag onto the trip?? (No Augustas please...let’s keep it realistic shall we? 😉😂) Ocean Course @kiawahresort would be right up there for me... #Worldie",N
#ICYMI #new #episode of the #podcast is now out! #SaturdayMotivation - #TigerWoods wins #TheMasters - We've never watched #GOT and never will - #Sixers playoffs - #Flyers new coach & more  #GamefThrones #HereTheyCome #PhilaUnite #2AngryOldMen,V
"Check out my newest YouTube video where I fail at course vlogging, react to #tiger winning #TheMasters and show some love to my favorite vloggers @RickShielsPGA @alexelliottgolf and @PeterFinchGolf.  via @YouTube",V
"Hear Symetra Tour Pro @NatSheary talking about life on the Tour, the #augustanational women's amateur, #TheMasters & the work she's doing to get to the @LPGA on this segment of Next on the Tee  #podcast @ROAD2LPGA #Golf #SaturdayMorning @podbeancom",V
"Episode 116: The Irrational Overreaction! We're talking Ty Lue possibly to @Lakers, #NBAPlayoffs, #StanleyCup Playoffs, @TigerWoods' win at #TheMasters, @TheAAF's bankruptcy and more! #PodernFamily @PodcastHQ @Podcast_Genie",V
.@TigerWoods and the Game of Life: Golf is all about how you react when you get a bad bounce via @nytimes #TigerWoods #TheMasters,M
"Only 6 days ago, history was made at #TheMasters Check out our Masters Recap Podcast special w/ a great lineup of guests from Augusta and beyond:  Please SHARE the link with others you know were watching history unfold!",N
Where were you watching from when Tiger claimed his victory? @YGTRory and #YGTDerek go through their top spots to view their fave players at #themasters WATCH THIS 👀📺⤵️,N
#Hoteliers #Converse with us on our #Careers #Group on #Linkedin  or #Apply 4 #Sales #Marketing #Chef #Managment #Food #Beverage #Spa #Engineer & #Business #Jobs #Axeljob #Job bran #hotels #video #Viral #TheMasters,V
A reminder I called this last month! Dreams do come true... @TigerWoods @GCTigerTracker @TheMasters @tiger #HeDidIt #TheMasters #StillCantBelieveIt #Augusta #GOAT RT @sayjul: Happy St. Patty's Day! @TigerWoods 25 days until @TheMasters Let's get another green jacket... #Mexico #TigerWoods #TigerTracker #StPatricksDay #GOAT @GCTigerTracker @TigerWoods,N
#Golf benefiting from #AI. “Round in Three Minutes” means I don't have to #bingewatch #TheMasters,D
".SadhguruJV, an avid golfer himself, was present to witness TigerWoods' historic victory TheMasters at Augusta National. GolfDigest #themasters",N
"#IBM #proudIBMer #IBMSystems @IBMSystems #EmployeeAdvocacy #socialCTO You celebrate a birdie. #IBM hears data. At #TheMasters, #IBMWatson analyzed the roar of the crowd, identified the most exciting moments, and created #AI highlight reels. 🎥  by @IBM",N
".@SadhguruJV, an avid golfer himself, was present to witness @TigerWoods' historic victory @TheMasters at Augusta National. @GolfDigest #themasters",N
Check out top Five stories from Friday you must read today:  #SportPesaNews #PL #TheMasters,M
Golfing gifts for the golf enthusiast Etsy on-line shop HambleArts has a wide variety of artist work  #ArtistOnTwitter #etsyshop #golfing #TheMasters,V
Been working abroad since mid-March. In that time I’ve missed: #MarchMadness #OpeningDay #TheMasters #NBAPlayoffs Terrible timing 🤯🤬,D
"Pin position chat with @robbiewoody #themasters RT @JasonKirkSBN: If you had to do a 400-tweet thread, what subject would you go with",V
Tiger Woods spotted wearing green jacket with girlfriend in Florida restaurant. #TheMasters #IWouldDoTheSameThing,N
New episode is live! @TheSquashMan co-host! Go check it out! Don’t forget to share!  #TigerWoods #TheMasters #NbaTwitter #NBAPlayoffs,V
Listen to Tiger Woods v. Donald Trump by Dump On The Ump: A Baseball Podcast #np on #SoundCloud #TheMasters,M
On the gang #NowPlaying #FridayThoughts #HappyPassover #TheMasters,V
"The Sports Offensive is LIVE on SAT. 4/20 @ 11am Eastern! Catch a recap of The Masters, NFL, MLB, NBA, NHL and everything else SPORTS related. #TigerWoods #TheMasters #NFLDraft #NFL #MLB #NBAPlayoffs #NHLPlayoffs #sports #podcast #SportsTradingCards",V
Watching the #RBCHeritage after #TheMasters last week; is like watching the Pro-Bowl the week following the Super Bowl! 🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️,M
$VIRA Cambridge Golf press  #Cambridge #Golf #espn #sports #golfcentral #ad #wsj #nytimes #reuters #bloomberg #thestreet #forbes #nasdaq #IHub_StockPosts #pgatour #business #cnn #bet #foxnews #bitcoin #blockchain #themasters #cannabis #marijuana #CBD,V
At 53 years of age jp.diddy eclipsed the 300 yard mark. LETS GO. #THEMASTERS #tpicertified #tpicertifiedgolffitnesspro #upecfitness909 #300yarddrive @ UPEC Fitness,N
Checkout Episode 40 of the Mutant Blitz Podcast with @JoshHennig discussing #TigerWoods #ShazamMovie #Sixers #TheMasters #HereTheyCome #Shazam #PhilaUnite #DCEU,V
"Well, I’m pretty much still riding a high from #TheMasters and @TigerWoods win! Felt like I needed to break this out! @EASPORTS Are you game @GCTigerTracker ?",N
"This week @themaack discusses one of his favorite athletes return to greatness in, The Return of the Roar. Follow the link for the newest post by the Dekkai Sensei:  #ReturnOfTheRoar #TigerWoods #TheMasters #AugustaNational #Golf #DekkaiSensei #Blog",V
NBA PLAYOFFS : Portland Trailblazers Vs Oklahoma City Thunder | Live Pla...  via @YouTube #TheMasters #NBA #MLB #NHL #NHLPlayoffs #StanleyCup #NBATwitter #NBAPlayoffs #ChampionsLeague,V
Ep243 now available! #TheMasters / Why ⁦@TalkBackEric⁩ picked Tiger to win / Security Guy / #PGA mixing young stars w/Tiger #NBA #NBAPlayoffs #DubNation #HereTheyCome #Celtics #FearTheDeer #MileHighBasketball #GoSpursGo #GoHawks $ #RussellWilson,V
• ⚽️🏀🏈⚾️🏒 SPORTS FOLLOW TRAIN! ⚽️🏀🏈⚾️🏒 • •🔥RETWEET THIS TWEET TO CONNECT ALL SPORTS FANS🔥 • • FOLLOW US • • REGISTER FOR FREE NOW AT  • #TheMasters #NBA #MLB #NHL #NHLPlayoffs #StanleyCup #NBATwitter #NBAPlayoffs #NFL #NFLDraft,V
NEED HELP... Anyone know where to locate the English “bar celebration” video of @TigerWoods holing his final winning @TheMasters putt last weekend??? @GolfChannel @GolfDigest #Golf #Masters #TheMasters,M
The Tiger roars in NYC 🐅 📷 @MiltonGan #tigerwoods #themasters #nike #nyc,N
"It’s only April but Tiger Woods’ victory at #TheMasters is already the sports story of the year, perhaps one of the greatest individual comeback stories in the annals of sports: #golf",N
"What an incredible week! 🐅 wins #themasters, GoT premieres for the throne, @down_inmy_heart had a record week of mentions, Stevie Y is back home in #Hockeytown, and I named a turkey Turkey McTurkeyface on the internet",N
"To all you @TigerWoods haters, I don’t mean to goat...I mean gloat...but shouldn’t you all be hushed by now. I’m sure you all will find something to say, but please, for your own sake, take a moment to appreciate the greatness we’ve all been blessed with. #TigerWoods #themasters",N
"A week ago, this guy almost prevented us from witnessing history...good thing the golf gods had different plans. #TheMasters",D
"Last Sunday, I got to witness history. Getting to experience it with my dad will be a memory I’ll always have! #themasters",N
"Between today's spot-on storm forecast and helping #TheMasters salvage a timeless finish, I'd say it's been a pretty good week for Southern mets. I hope folks remember this the next time we hear the ""It must be great to have a job where you're wrong half the time"" crap ...",N
��THE ODDS COUPLE PODCAST💵 @CarmenDeFalco & @North2North talk: ✔Crazy #TheMasters betting story ✔Difference in gambling #NBAPlayoffs vs #NHLPlayoffs ✔They're best bets of the weekend,V
The beer just tastes a little better in one of these doesn’t it @fischorgolf @MCrowleyGolf ? Thanks for bringing them home fellas. #TheMasters #themasters2019,V
"Finally downloaded some pictures from #TheMasters These don’t do the course justice but it’s truly an amazing place, and even better with some good…",N
I got some porn in the mail today... #TigerWoods #TheMasters,D
Didn’t win #TheMasters but this shot would have done wonders for @F_Molinari if he were single! #RBCHeritage #RBCHeritageOpen,M
��ICYMI: I crunched a couple million tweets to discover how #GolfTwitter reacted via emoji when #TigerWoods won #TheMasters. 🙌  #smsports #golf #pgatour #emoji @Meltwater,N
No headline or caption needed. @SInow @TigerWoods #TheMasters,M
#GameOfThrones #AvengersEndgame Tiger Woods winning #TheMasters Are you not excited?,N
Now that #TheMasters is over there’s a ton of people at the driving range 🏌️‍♀️ #randomobservation,N
Here's your dose of weekly sports from the Caribbean Weekly Recap! Don't miss the action to come! #TheMasters #TigerWoods #NBAxESPN #StephenCurry #WIndies #Cricket #RamnareshSarwan #LaLiga #SerieA #CaribbeanRecap #ESPNCaribbean,V
#Golf benefiting from #AI. “Round in Three Minutes” means I don't have to #bingewatch #TheMasters,M
MJ was impressed by what Tiger did 👀 #TheMasters,D
Everything tastes better with this koozie #TheMasters #LogoBingo #GolfIsCool @dogfishbeer,V
"Texas Man To Name Baby ""Tiger Little"" After Winning Masters Bet With Wife @RonDiazWDAE @IanBeckles @jayRecher ** #TigerWoods #TheMasters",V
I’m seeing all kind of Tiger Woods stuff lately. I’ll bet half you mofos can’t tell el who won last year 😂. #TheMasters #PGA,D
"“Tiger’s swing had an eery, high pitched hissing sound followed by a metallic snap which must have been the sound of the ball begging for mercy.” Listen to the rest of the story on @HimalayaApp. | #golf #hipodcasts #podcast #themasters #tigerwoods",N
That jacket tho @TylerJacobsSTAD 👀 @TigerWoods #TheMasters RT @SauceAndShram: We felt as good as Tiger winning the Masters this week (okay maybe not quite) Make sure you tune in every weekday Noon Eastern for more fun like this on @Stadium,V
"#TigerWoods Wins #theMasters; 15th Major, First in 11 Years",N
"I forgot to post this on the day after @TigerWoods won the Masters. Stars like him are not just athletes or celebrities, they are legends, and they make history. #TigerWoods #themasters #golf",N
Bryson thinking back to his #TheMasters hole in one like... “OH MAN...that was so much easier than putting....I should just make the ball in one shot every time.” #RBCHeritage #RBCHeritageOpen,N
.@DaHonestyPolicy Special Broadcast #Eggdrp #Tiger #TheMasters #DaAngels #Ru…,V
"Tiger didn’t just beat any ‘ol @TheMasters field. He beat red-hot players & favorites who’d already won in past 2+ months. Rory (Players), Dustin (WGC Mexico), Rose (Farmers), Molinari (Bay Hill), Rickie (PHX), Phil (Pebble). And the back to back @usopengolf Champ. #TheMasters",N
$VIRA Cambridge Golf Shareholder Information  #Cambridge #Golf #espn #sports #golfcentral #ad #wsj #nytimes #reuters #bloomberg #thestreet #forbes #pgatour #business #cnn #bet #foxnews #bitcoin #blockchain #themasters #crypto #cannabis #marijuana #CBD,V
"Texas Man To Name Baby ""Tiger Little"" After Winning Masters Bet With Wife @RonDiazWDAE @IanBeckles @jayRecher * #TigerWoods #TheMasters",M
New episode of @HWYWHoney Check out Ep 114: Take Me To Augusta  Chatting #passwords #FestofAle #theMasters #whalepuke #90smoviebracket #craftbeer #cheating @olinernotes 💯#momlife #DadLife #Podcast #pod #marriedlife #parenting,V
☑️ one off the bucket list. What an incredible experience. #TheMasters,N
My childhood is coming full circle this week... First @TigerWoods wins #TheMasters NOW Steve Yzerman is BACK with the @DetroitRedWings! #LGRW,M
What Happens Behind the Scenes in Social Media During #TheMasters? You might be surprised:  #smsports #pgatour #golf #realtime,M
"📣 New Podcast! ""Episode 243 - A Masters-piece for the ages"" on @Spreaker #boogie #dubnation #heretheycome #justdoit #nascar #nba #nbaplayoffs #pgatour #podcast #seahawks #sixers #sportstalk #taylormadegolf #themasters #tiger",V
"#TheRudeDogShow | Rudy Reyes welcomes @TuckerDaleBooth to discuss #TheMasters and much more 041519 by @RudeDogEnt, LLC. Sponsored by @simkovichci",V
Just watched the highlights of the Masters... still can’t believe the goat won! #15 #TheMasters #TigerWoods,N
MAXIMUM GRIP | VENTILATION | SENSITIVITY Mokom Premium Golf Gloves: Natural Touch & Hi-Tech Grip Balanced  #mokom #mokomgloves #golf #golfgloves #tiger #tigerwoods #masters #themasters #pga #golfday #golfdaily #golfdigest #pgachampionship #golf_genius,V
Tiger Woods Roars – A Masters Review - LWOSports  by @JanetCesanek #themasters,N
"Episode 243 of the @TalkBackFanTalk #podcast hits digital shelves in half an hour! @TalkBackJustin and I react to #TheMasters, the #NBAPlayoffs, the big @DangeRussWilson deal with the #Seahawks, and #NASCAR at Richmond. Enjoy the show!",V
In the last three majors @TigerWoods @GCTigerTracker has finished: 1st 2nd T6th That's really good!!!!!! #tiger #TheMasters #majors #PGATour,N
• ⚽️🏀🏈⚾️🏒 SPORTS FOLLOW TRAIN! ⚽️🏀🏈⚾️🏒 • •🔥RETWEET THIS TWEET TO CONNECT ALL SPORTS FANS🔥 • • FOLLOW US • • REGISTER FOR FREE NOW AT  • #TheMasters #NBA #MLB #NHL #NHLPlayoffs #StanleyCup #NBATwitter #NBAPlayoffs #ChampionsLeague,V
We Absolutely Love ❤️ this quote from one of #TheMasters who is gone althoughnever forgotten...,V
If you were to come to #themasters you'd want to know the best spots to watch your heroes We've got the answers (Thanks @YGTRory and Mr Anderson) 👀📺➡️,M
��[LIVE] Chasing Builds!! Run It! 📽 #TheDivision2 📺  #RyoTFAM #NerddomUnited #newbstreamteam #Xbox #ninja #streaming #Blackout #SupportSmallStreamers #Themasters #ApexLegends #Apex #gameofthrones #forthethrone,V
We analyzed tweets from @IBM's #TheMasters campaign and the top influencer of the conversation was @4goflonline! #sportsbiz #sponsorships #golf,V
"Want to live a longer, healthier life? Golf could be the answer! With the Masters about to swing into action Learn about the benefits of golf for 'Golf & Health Week' Read this week's Blog to find out more:  #golfhealthweek #TheMasters",V
"Texas Man To Name Baby ""Tiger Little"" After Winning Masters Bet With Wife @RonDiazWDAE @IanBeckles @jayRecher #TigerWoods #TheMasters",M
If you were lucky enough to be the new Jeff Knox at #themasters in 2020 Who would you get to be your caddy?!? tag them! 🏌,N
"I don’t understand why people love Tiger Woods so much and want him to win, let’s not forget he’s a wife beater and a terrible person! #rigged #TheMasters #TigerWoods #PGA",D
"Great to talk with the guys about my journey in golf so far. It’s been a fun ride that’s just getting started! We also talk 🐯, #TheMasters, and get you ready for season 7, episode two of #GameofThrones. Great stuff! #WhiskeyPinesNational RT @Whiskey_Pines: Kick off your Friday with Episode 14 of ⁦@Whiskey_Pines⁩ with special guest ⁦@ryguy0722⁩ #WPN #masters",V
"“With Tiger delivering virtually every time...barring that one flukey loss to Y.E. Yang at the PGA, how could one truly expect someone of my generation to simply turn to another player and believe it would all be the same?” #TheMasters #PGATour #Tiger",N
Why are people so tough behind a keyboard? #nipseyhussle #pushat #magic #lakers #profoundly #anonymous #Tigerwoods #TheMasters #auntbecky #2ampod #podsincolor #PodernFamily #trypod #linkinbio #podcast,V
Welcome Tiger Little 😄 @_treylittle #TheMasters @TigerWoods,M
"If Tiger Woods is going to pass Jack for the most majors wins, the math is simple. All he has to do is win every single one of the 4 Majors...One. More. Time. #TheMasters #PGAChamp #USOpen #TheOpen #TigerWoods #Majors",N
Always consult the “Masters” when it comes to the stability of your roof! #LexingtonBlue #TigerTigerWoodsYall #TheMasters #Roofing #RoofingContractor #RoofingCompany #Roofers #RoofRepair #RoofReplacement #StormDamage #InsuranceClaims,V
Tiger's unexpected win in the #Masters offers a boost to #golf #betting. #TheMasters #Tiger #sportsbetting,N
"Still feeling inspired by #themasters last week? Why not play a lookalike? Woburn, Buckinghamshire 🛏 1 Night 🍴 Dinner 🍳 B&B 🏌2 Rounds 💰 From £321 Find out more ➡️",V
"Students in our #TGRLearningLab @CRPHS celebrated #TigerWoods #STEM style, using what they've learned in their robotics enrichment classes to recreate Tiger's remarkable win at #TheMasters. #UnrelentingChampions #ReachMillions",V
Our team had a successful trip to @TheMasters! Check out a few of our pics from the practice rounds. #masters2019 #themasters,V
"We’re back with Episode 20! This episode features #TheMasters Chatter, NBA/NHL Playoffs, #Wrestlemania35 recap and much much more! Listen on ITunes, Spotify, or just simply click the link here",V
Tremendous #membermember #weekend @UClubBR Thanks to @MBOBR support #AClass hole in 1 #Breezy Sunday Home of #LSUGolf #GeauxLow #UCLife @MercedesBenzUSA #UClubBR #Tiger wins #TheMasters,V
"💰 With an impression value of $224.5K on during #TheMasters, @IBM scored big with their #sponsorship! #sportsbiz #golf #pgatour #ibm",V
Avoid the pollen and check out the latest @HowitzerBuzzsaw podcast with me and @MikeAsti11 out NOW- a reflection on Tiger's #TheMasters triumph & the shock (or not) of two sweeps on the road to the #StanleyCup,V
Finally a break after 2 big weeks around #TheMasters. But no one told my office assistant that today is an off day.,V
This is behind Jim Nantz’s house. #BackyardGoals ⛳ #Golf | #TheMasters | #GolfisLife (via Instagram/andrewperloff),M
They developed #TigerWoods proof Golf Courses to prevent him from winning. I wonder why? #PGATour #TheMasters,V
Finally got some @TheMasters photos uploaded! Got tons! #themasters,N
"Tiger Woods won #TheMasters, but is it smart to bet on other players in upcoming tournaments?",N
"The weather radar's calling for more wins!!@ ""Tiger Woods winning #TheMasters was a good result for MGM sportsbooks... namely the #PGAChampionship in May. We're inside @TheMirageLV sportsbook talking about Tiger's impact on golf betting interest."" @Covers",N
Take a peek at our Master recap! @TigerWoods #TigerWoods #theMasters,M
Week in review: highly emotional. ✅@TigerWoods winning #themasters ✅ @GameOfThrones premiere ✅ @realDonaldTrump - vindicated/sick meme ✅ YZERMAN finally comes home to DETROIT. To be named GM of the @DetroitRedWings #LGRW,N
⛳️ Shutout to our finalists in our #MiniGolf tournament this week! And congratulations to our winner 🏆 #TheMasters #PGATour,N
What was in the bag of our 2019 #theMasters champion? @tigerwoods,N
Expecting the Unexpected at #TheMasters 2019. #analytics #AI #ibmdsna,V
#CongratsTiger on your amazing #Comeback at #TheMasters! #nevergiveup #Masters2019,N
"The Sports Offensive is LIVE on SAT. 4/20 @ 11am Eastern! Catch a recap of The Masters, NFL, MLB, NBA, NHL and everything else SPORTS related. #TigerWoods #TheMasters #NFLDraft #NFL #MLB #NBAPlayoffs #NHLPlayoffs #sports #podcast #SportsTradingCards",V
"Read this view from inside the ropes during that epochal @TheMasters victory of @TigerWoods #TheMasters RT @CaddieNetwork: 🚨TCN EXCLUSIVE🚨 What has the aftermath of @TigerWoods' fifth victory at @TheMasters been like? @JohnstonGarrett tracked down none other than his caddie, Joe LaCava, to find out.",N
Can we hop back to last weekend and relive the #TheMasters all over again?,N
"Thank you @RobHodgetts and @cnnsport @CNN for taking the time yesterday to speak with me to share my story with the world. It's been an amazing 6 months of freedom. -V.D. #freedom #Golf #TheMasters #JackNicklaus #TigerWoods #TomWatsonPGA RT @cnnsport: Wrongfully convicted of murder, @ValentinoDixon drew himself out of prison and went to the Masters.",V
"Tiger Woods winning #TheMasters was a good result for MGM sportsbooks, and will also help boost betting handle on upcoming PGA Tour events - namely the #PGAChampionship in May. We're inside @TheMirageLV sportsbook talking about Tiger's impact on golf betting interest.",N
I feel like Eldrick Roan is a good baby name after that Masters #TigerWoods #TheMasters,M
Big sale this weekend @PalmBchGolfCntr in Boca Raton! #golfsale #discounts #golfapparel #sportsapparel #bocaraton #themasters @ Palm Beach Golf Center,V
How art and golf led to @ValentinoDixon's exoneration for a murder he didn't commit after 27 years behind bars. #TheMasters,V
Mavs play-by-play announcer Chuck Cooperstein's sports week unlike any other. #TheMasters @coopmavs @dallasmavs @TheMasters,V
"Michael Jordan says Woods comeback is ""greatest I have ever seen"" | @IOL #TheMasters",N
Guy bet his fiancé about their baby name... He said if Tiger Woods would win #TheMasters then he gets to name his baby Tiger. Well... Tiger won. so Baby Tiger is coming! 🐯🐯,M
That Friday Feeling #TheMasters,M
"Fair is fair, right?! This couple is now naming their son Tiger because @TigerWoods won #TheMasters.",M
Still watching The Masters 2018 Rd. 4 Highlights. Just can’t imagine all of @TigerWoods golf colleague waiting for him at the end of the road to congratulate him. #TheMasters,N
"#ListenIn to @brandonsgorall and I yak about things over a microphone. #podcast #sports #TheMasters Spotify:  iTunes:  RT @GERENetwork: The gang assembles to talk Tiger Woods' monumental victory at the Masters, the epic collapse of the Tampa Bay Lightning, and whether or not Russell Wilson is worth the title ""highest paid…",V
